,AT1 0,BE1 0,CH1 0,CZ1 0,DE1 0,DE1 1,DE1 2,DE1 3,DE1 4,DE1 5,DE1 6,DK1 0,DK2 0,EE6 0,ES1 0,ES1 1,ES1 2,ES4 0,FI2 0,FR1 0,FR1 1,FR1 2,FR1 3,FR1 4,FR1 5,FR1 6,GB0 0,GB0 1,GB0 2,GB0 3,GB0 4,GB5 0,HU1 0,IE5 0,IT1 0,IT1 1,IT1 2,IT1 3,IT3 0,LT6 0,LU1 0,LV6 0,NL1 0,NO2 0,PL1 0,PT1 0,SE2 0,SE2 1,SI1 0,SK1 0
79,7264.951407057233,10760.999999999998,7293.946922374802,7454.666666666665,8987.234487057736,6141.120759044646,10784.107246793183,10524.959953103395,7151.834505554868,9690.43535606769,4729.068334879691,2079.995896987605,1588.5374363457279,942.4333333333334,12889.70978063977,11791.72258676671,6034.338716821774,663.8955824384134,11690.779492481137,6952.883958227681,7146.79573939673,19806.25313426297,5358.148854968255,10695.527087650078,7674.094149502125,7218.937301753973,19196.322445688707,10405.711568769175,4513.704363973581,5109.168721240018,4402.755617452854,1072.840949831637,4917.55,3731.859666377366,10918.809522460166,7252.267321146762,8734.966808799481,5010.189568606402,1807.2511541962347,1240.3333333333333,825.018834153131,739.0000000000001,12958.333333333334,18297.713840852197,18430.272133333332,6624.0,2524.9558590211673,16359.044140978833,2087.7152596094347,3286.2566666666667
80,6530.0943138099055,9533.666666666666,7150.5973160367685,7016.666666666665,7992.14943430206,5461.163261185531,9590.068753188547,9359.614779872689,6362.0945928202445,8617.49045945857,4205.456180298025,1851.2182716601812,1413.815061673152,886.5666666666666,10448.936386513162,9558.862169387054,4891.686660117699,538.1814506487495,11089.468427340425,6259.350848945789,6434.652536083348,17832.656984744313,4824.235556121253,9629.770180769861,6913.835176067522,6499.60554497097,16180.192245509048,8770.763989319012,3804.5101896529163,4306.415062483563,3710.993733405496,904.2759552639736,4261.696666666667,3096.622157699326,8921.748093063377,5897.983489433259,7105.771211375456,4074.5899242305804,1503.0432776509867,1162.6666666666667,685.9516327141863,673.0000000000001,11573.333333333334,16948.17823932624,16505.442166666664,5260.333333333333,2311.9132655360095,14978.753401130658,1858.9056861900956,3047.013333333334
81,7713.201799807929,10081.33333333333,7264.782793156177,7760.666666666665,8961.106249798519,6123.266917525222,10752.755031250255,10494.36114640769,7131.044863327094,9662.262730273507,4715.319698450238,2112.6730150537855,1613.4936516128807,1071.8333333333333,10696.21770311771,9785.07926317072,5007.451812951064,550.9178874271706,12408.794186353189,6623.013462945935,6808.975846252554,18870.03688275891,5104.876012195117,10189.963202851606,7313.740755977419,6877.70736923335,15412.25017123933,8354.48718687513,3623.941046697692,4102.024579010296,3534.8630557230767,861.3573333921977,4764.2300000000005,2880.7332937289425,9958.728693455561,6600.987318214818,7951.544922069564,4560.2563087806175,1661.2052073698844,1458.6666666666667,695.8176210392954,863.3333333333335,12233.666666666666,17713.975813646815,17938.43536666666,5218.0,2510.4707454473855,16265.195921219281,2142.1315335254044,3355.4533333333334
82,9937.978541081671,12293.33333333333,8559.985584069456,9414.999999999998,11265.934388281325,7698.192769037173,13518.401556509945,13193.547852980322,8963.286510558919,12147.430788921265,5928.116558567227,2910.021155073504,2222.4455115931632,1348.3999999999999,14423.237325474167,13194.619292401856,6752.262145245742,742.8812368782336,13121.316943337602,7889.552562934165,8110.217434656771,22476.229256033574,6080.452533643828,12137.334467379857,8710.529018569992,8192.084019085345,21828.58521918314,11832.576910903657,5132.63832913603,5809.754714545353,5006.475926142368,1219.9524240273868,5838.233333333334,3729.683142728736,14916.430033753213,9984.826035712525,12023.795327909771,6897.962944996102,2395.7427922704906,1842.0,901.3210307954032,1149.0000000000002,16397.333333333332,20561.03638999573,22536.394566666666,6910.666666666667,2955.4980040141854,19148.501995985815,2785.354792251663,3976.8233333333337
83,9885.755194353436,12221.33333333333,8635.04541098194,9491.33333333333,11514.124742395943,7867.7851990603185,13816.214126132558,13484.203843047644,9160.381018678132,12415.04065111088,6058.713923791896,2975.1674974529856,2272.1991692136808,1326.0,15225.190078161226,13928.25911426838,7127.697638127812,784.1865027759145,13006.869203647468,7823.074147180615,8040.476313859445,22282.95238864466,6028.165701870469,12032.96349137742,8636.683865739744,8121.638913789466,24179.96363649101,13107.183839848525,5685.526886492989,6435.582348744442,5545.77425085272,1351.3658789625927,5953.203333333334,4198.706491941055,15521.7357952979,10408.667939163899,12533.723407519732,7190.7718266017755,2475.3050575546945,1866.0,1004.4227028675438,1137.666666666667,16861.666666666668,20518.8474630192,23270.40816666666,7557.666666666667,2974.8412018327126,19273.825464833953,2821.5781389799,3990.5866666666666
84,9696.44556246358,12009.33333333333,8472.49409315452,9482.999999999998,11317.517868241717,7733.440584153683,13580.29843711952,13253.957321722535,9003.921458715691,12203.050387888783,5955.259702771919,2909.435272679026,2221.9980606543068,1328.2,14681.472410256101,13430.85707694006,6873.15532256785,756.1818569026532,13125.601021231878,7438.109991997203,7644.744439033412,21186.24192259704,5731.47465747908,11440.731512042068,8213.545097159069,7721.912421408164,23920.916075758578,12966.762454075213,5624.616047520428,6366.635929535645,5486.360625850899,1336.8882709783522,5903.223333333334,4205.450596280892,15099.65074671885,10133.908041565597,12202.973470600207,7000.955440655221,2400.1544005288374,1856.3333333333333,964.7770377802127,1138.6666666666667,16667.666666666668,20438.20897876812,23403.40136666666,7348.666666666667,3020.8370086269974,19571.82965803967,2727.887770869757,3962.2166666666667
85,9962.84680142845,12518.33333333333,8572.81142778451,9468.0,11549.01290280601,7891.624835874921,13858.077689840313,13525.06140514666,9187.845419681042,12452.658615083303,6077.07201769665,3045.0197984203674,2325.5468682462983,1305.5,14596.854551085775,13353.447240861264,6833.541333392313,751.8235413273131,13316.529920666144,7795.696181978642,8012.354894183103,22205.01816792332,6007.082301961857,11990.878420408699,8606.201968448573,8093.233629395966,25220.095363835844,13671.005935403437,5930.097018616299,6712.417065516616,5784.332746544529,1409.4965919401332,6017.896666666667,4515.798611476479,15962.270318178575,10716.076209106994,12903.380842206185,7403.143163615411,2534.211581390078,1833.0,1000.5022739558644,1113.666666666667,17237.666666666668,20618.54341266719,23764.625866666665,7531.666666666667,3084.304090870275,19983.029242463057,2765.8198652382175,4039.53
86,8522.663674095596,11676.33333333333,7835.110528111862,8859.33333333333,10777.198619980687,7364.231818455446,12931.94985679209,12621.1888702008,8573.314612827095,11620.454178292524,5670.9445832146275,2649.832673629254,2023.7339930374128,1161.5,15573.10913989553,14246.541304359353,7290.5765159514995,802.1063731269487,12807.028465313526,7489.858440345233,7697.2861366996585,21331.85321498994,5770.866609824462,11519.362715606856,8264.839778569443,7774.984488249181,24960.65479794962,13530.371514123612,5869.093770846023,6643.3660466041665,5724.828984192002,1394.9970197477132,5662.139999999999,4557.794533203531,14607.436820173214,9789.449371545828,11787.6219988795,6762.988035576697,2335.2725177455122,1595.0,1012.8779705860088,981.0000000000001,15696.333333333334,19924.908201353144,22422.448999999997,7979.333333333333,2866.982817683323,18575.01718231668,2544.0029925710724,3819.97
87,7275.831270958949,10833.666666666664,7128.268719662291,7528.666666666665,9102.162208779811,6219.652705515334,10922.013170853055,10659.551931355234,7242.475239412983,9814.355529684135,4789.543117236644,2095.7958222064176,1600.6041777935823,952.0333333333333,12968.576911516966,11863.871560199374,6071.260493140721,667.9577018096041,11952.773936068204,7121.469842321801,7319.551970466484,20285.020650203984,5487.6689413745835,10954.065181691489,7857.056363924069,7393.437377879719,19358.15053514149,10493.433392953726,4551.755618615877,5152.239836303305,4439.871556295605,1081.8851718011922,4933.096666666667,3724.460555555475,10960.218243567802,7272.956851486607,8759.585310707509,5024.482818496103,1820.55280104717,1251.0,884.1103243331978,746.6666666666669,12968.666666666666,18141.336063931794,18470.748299999996,6542.666666666667,2497.6792759222303,16182.32072407777,2097.168729041052,3287.5866666666666
88,6644.177458150756,9526.666666666664,7260.420412078131,7098.666666666665,8098.39300412656,5533.761188067691,9717.554249746972,9484.036738517243,6446.7176500996275,8732.04699482713,4261.361375891304,1853.7885944230504,1415.7780722436164,897.9333333333334,10511.646709328712,9616.230623956777,4921.044600315751,541.4113997320923,11316.715606083477,6435.158374490501,6614.520764903507,18331.134316506465,4959.087702375436,9898.951725017556,7106.438341891688,6681.28940914978,16318.85589664273,8845.92911341254,3837.114701742011,4343.32088083234,3742.796812911616,912.0255668685023,4272.070000000001,3069.380360923598,8985.070730983178,5933.566546932638,7148.748563255493,4099.172286629534,1519.6519278024025,1169.0,769.2925300404978,676.6666666666669,11578.0,17038.514393916525,16408.503399999998,5214.0,2315.1668448925816,14999.83315510742,1879.155875182579,3035.3566666666666
89,7851.842351241224,10035.33333333333,7163.384351371911,7817.666666666667,9089.091781035708,6210.721473636996,10906.32949254725,10644.245139396626,7232.247838932068,9800.2624140196,4782.665479176017,2133.8214795512154,1629.6451871154513,1088.4333333333334,10711.416056463835,9798.98297159264,5014.566946929194,551.7006916809938,12611.070581493776,6798.776974930937,6988.082075313741,19366.402448540222,5239.156866322745,10458.004377434341,7503.956141314901,7058.621541835045,15501.00073873226,8402.59602696723,3644.809305445239,4125.645854632754,3555.2183639175055,866.3174106880756,4782.37,2858.6956329502705,9973.427979021946,6602.821496436434,7953.587491345364,4561.523440863038,1671.1410012726928,1465.0,833.8263952524152,859.6666666666669,12212.333333333334,17803.76941850623,18000.34013333333,5183.666666666667,2534.1817621281602,16418.81823787184,2175.8243154254433,3343.1000000000004
