t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t1714	6.39E-17	6.40E-17	6.40E-17	6.40E-17	0.017099781	0.095514365	0.2044913	0.30493537	0.37554607	0.3895122	0.33102015
t1715	0.283685	0.2071782	0.13699234	0.06348513	0.005365081	6.27E-17	6.29E-17	6.29E-17	6.30E-17	6.29E-17	6.29E-17
t1716	6.30E-17	6.30E-17	6.30E-17	6.30E-17	6.30E-17	6.31E-17	0.017732004	0.09817175	0.21322864	0.33678833	0.3605878
t1717	0.34676102	0.31614098	0.23445965	0.18705194	0.125066	0.05450503	0.00591663	6.24E-17	6.24E-17	6.25E-17	6.24E-17
t1718	6.24E-17	6.24E-17	6.25E-17	6.25E-17	6.26E-17	6.26E-17	6.27E-17	6.28E-17	0.019051831	0.11406221	0.23764339
t1719	0.37043652	0.44717017	0.48937458	0.48884293	0.4286867	0.34366742	0.22099409	0.0974355	0.008853728	6.19E-17	6.20E-17
t1720	6.21E-17	6.22E-17	6.22E-17	6.23E-17	6.24E-17	6.24E-17	6.25E-17	6.26E-17	6.27E-17	6.28E-17	0.027028082
t1721	0.13805081	0.27122366	0.36353388	0.40208203	0.34793344	0.27955148	0.22433819	0.16576728	0.11157807	0.050279323	0.006296865
t1722	6.18E-17	6.18E-17	6.19E-17	6.19E-17	6.18E-17	6.18E-17	6.18E-17	6.19E-17	6.19E-17	6.19E-17	6.20E-17
t1723	6.20E-17	0.00831874	0.045966685	0.09299518	0.092076115	0.11454659	0.123060204	0.09923026	0.084257424	0.0673553	0.041220132
t1724	0.021088928	0.002505055	6.16E-17	6.17E-17	6.18E-17	6.19E-17	6.20E-17	6.21E-17	6.22E-17	6.24E-17	6.25E-17
t1725	6.26E-17	6.27E-17	6.27E-17	0.015372182	0.072187394	0.13932432	0.25363955	0.33462355	0.32118022	0.2915654	0.31290832
t1726	0.2481603	0.18686558	0.084420964	0.010957911	6.28E-17	6.29E-17	6.30E-17	6.30E-17	6.31E-17	6.31E-17	6.32E-17
t1727	6.33E-17	6.35E-17	6.35E-17	6.37E-17	6.38E-17	0.023598405	0.10437735	0.19832209	0.31952593	0.44178632	0.5155326
t1728	0.54593235	0.49537966	0.3982603	0.26755306	0.12394196	0.015043651	6.30E-17	6.32E-17	6.34E-17	6.35E-17	6.37E-17
t1729	6.38E-17	6.39E-17	6.40E-17	6.41E-17	6.42E-17	6.43E-17	5.08E-06	0.04692143	0.18863371	0.33971134	0.46449026
t1730	0.550557	0.58912826	0.5773768	0.51678026	0.41297373	0.2782385	0.13027002	0.016941197	6.30E-17	6.32E-17	6.34E-17
t1731	6.35E-17	6.37E-17	6.39E-17	6.40E-17	6.41E-17	6.42E-17	6.43E-17	6.44E-17	2.80E-05	0.049916226	0.19181773
t1732	0.34299916	0.46908557	0.5564803	0.595973	0.5843299	0.5236857	0.41957858	0.28337333	0.13465203	0.01879034	6.29E-17
t1733	6.31E-17	6.33E-17	6.35E-17	6.36E-17	6.38E-17	6.39E-17	6.40E-17	6.41E-17	6.42E-17	6.43E-17	9.14E-05
t1734	0.05358122	0.19536151	0.34498635	0.4694056	0.55522406	0.5931958	0.5815046	0.52117956	0.4185734	0.28447583	0.13730696
t1735	0.020481188	6.26E-17	6.28E-17	6.31E-17	6.34E-17	6.36E-17	6.39E-17	6.40E-17	6.41E-17	6.42E-17	6.43E-17
t1736	6.44E-17	0.000222724	0.04876774	0.17278677	0.3198086	0.45049712	0.5521017	0.5954244	0.58535206	0.52698	0.4253906
t1737	0.29169187	0.14269245	0.022530984	6.29E-17	6.32E-17	6.34E-17	6.36E-17	6.37E-17	6.38E-17	6.40E-17	6.41E-17
t1738	6.42E-17	6.43E-17	6.43E-17	0.000420824	0.061592273	0.20265093	0.34649014	0.47418007	0.5572178	0.5999591	0.58791345
t1739	0.52960587	0.42652056	0.29252067	0.14448166	0.024080273	6.26E-17	6.29E-17	6.31E-17	6.34E-17	6.35E-17	6.37E-17
t1740	6.38E-17	6.39E-17	6.41E-17	6.42E-17	6.43E-17	0.000700245	0.06564644	0.20945533	0.35726726	0.4787517	0.563708
t1741	0.6023056	0.5909617	0.53143615	0.42989385	0.29637215	0.14866179	0.026221711	6.25E-17	6.29E-17	6.31E-17	6.34E-17
t1742	6.36E-17	6.37E-17	6.38E-17	6.38E-17	6.40E-17	6.40E-17	6.40E-17	0.000964462	0.061096303	0.16968237	0.2693291
t1743	0.38383272	0.48939285	0.55610114	0.53408426	0.5263658	0.41431952	0.28167003	0.13924359	0.026518563	6.29E-17	6.33E-17
t1744	6.36E-17	6.38E-17	6.39E-17	6.40E-17	6.41E-17	6.41E-17	6.41E-17	6.41E-17	6.40E-17	0.001188567	0.04482368
t1745	0.16593984	0.30149665	0.46001807	0.5567785	0.61683273	0.60019755	0.53701794	0.44192928	0.30824587	0.15779045	0.030812835
t1746	6.29E-17	6.31E-17	6.32E-17	6.34E-17	6.35E-17	6.37E-17	6.38E-17	6.40E-17	6.41E-17	6.42E-17	6.43E-17
t1747	0.002290038	0.08269709	0.23544241	0.38855365	0.5137597	0.5991645	0.6360592	0.6221414	0.55963457	0.45464462	0.31736833
t1748	0.16506644	0.033938933	6.22E-17	6.25E-17	6.28E-17	6.30E-17	6.31E-17	6.33E-17	6.35E-17	6.36E-17	6.38E-17
t1749	6.39E-17	6.40E-17	0.00306816	0.08783596	0.23972608	0.3895421	0.5105542	0.5920201	0.62640715	0.61191523	0.5496576
t1750	0.44645196	0.31212798	0.16351493	0.03516407	3.71E-07	6.21E-17	6.23E-17	6.26E-17	6.28E-17	6.29E-17	6.30E-17
t1751	6.31E-17	6.32E-17	6.32E-17	6.33E-17	0.003833588	0.08918152	0.23613738	0.3802693	0.49503615	0.57236457	0.6045147
t1752	0.590148	0.5301438	0.42939243	0.29785722	0.15115957	0.034172043	2.09E-06	6.13E-17	6.16E-17	6.18E-17	6.19E-17
t1753	6.20E-17	6.21E-17	6.21E-17	6.22E-17	6.22E-17	6.23E-17	0.003821119	0.074704096	0.1996149	0.31339467	0.40238738
t1754	0.49646163	0.52176046	0.5084809	0.43102106	0.37041134	0.25337365	0.12243963	0.03164925	7.55E-06	6.18E-17	6.20E-17
t1755	6.22E-17	6.23E-17	6.24E-17	6.24E-17	6.25E-17	6.27E-17	6.28E-17	6.29E-17	0.005390726	0.09322726	0.23485427
t1756	0.3790834	0.49631557	0.566085	0.5795492	0.55707556	0.5157094	0.3836529	0.28170955	0.1409464	0.03462417	1.77E-05
t1757	6.18E-17	6.20E-17	6.23E-17	6.24E-17	6.26E-17	6.27E-17	6.29E-17	6.30E-17	6.31E-17	6.31E-17	0.006883833
t1758	0.09905133	0.24349755	0.38649586	0.49614057	0.5856633	0.6021225	0.5452848	0.49267393	0.4158292	0.28293845	0.16444694
t1759	0.042646576	3.98E-05	6.17E-17	6.20E-17	6.24E-17	6.25E-17	6.26E-17	6.27E-17	6.28E-17	6.29E-17	6.29E-17
t1760	6.30E-17	0.007799921	0.10202812	0.2413166	0.38189444	0.48141822	0.5457243	0.56561315	0.53420943	0.434379	0.31872386
t1761	0.21496314	0.10666681	0.029604552	6.54E-05	6.10E-17	6.11E-17	6.13E-17	6.14E-17	6.15E-17	6.16E-17	6.16E-17
t1762	6.16E-17	6.16E-17	6.17E-17	0.0076722	0.077101566	0.15943964	0.22377902	0.34606597	0.42490444	0.45752293	0.45699316
t1763	0.37298328	0.31128463	0.20533386	0.11672654	0.030513827	9.13E-05	6.13E-17	6.15E-17	6.17E-17	6.18E-17	6.20E-17
t1764	6.21E-17	6.21E-17	6.22E-17	6.23E-17	6.24E-17	0.009132747	0.09552085	0.21574408	0.3300177	0.44186556	0.49410906
t1765	0.5480554	0.5286492	0.5181005	0.43428755	0.28006715	0.16216983	0.04483628	0.000216038	6.20E-17	6.23E-17	6.26E-17
t1766	6.27E-17	6.29E-17	6.31E-17	6.32E-17	6.33E-17	6.34E-17	6.36E-17	0.012797807	0.09319646	0.23194942	0.3447694
t1767	0.41055477	0.50107425	0.5701628	0.6075436	0.58119756	0.48576137	0.3507049	0.19984733	0.058466926	0.000356419	6.27E-17
t1768	6.29E-17	6.32E-17	6.33E-17	0	0	0	0	0	0	0.01270669	0.099579975
t1769	0.21596268	0.3613732	0.47217628	0.57793105	0.6116965	0.5757976	0.47308055	0.4101705	0.29473558	0.17810296	0.053692337
t1770	0.000471081	0	0	0	0	0	0	0	0	0	0
t1771	0.017876692	0.13282274	0.28539303	0.43068773	0.54780734	0.62646085	0.62791187	0.60424596	0.49328387	0.40359426	0.30088595
t1772	0.17893699	0.05385055	0.000714271	0	0	0	0	0	0	0	0
t1773	0	0	0.020143067	0.11675667	0.24844217	0.3864821	0.4845301	0.53686476	0.52819574	0.4676057	0.39571792
t1774	0.27586028	0.15311116	0.0815777	0.033008818	0.000728168	0	0	0	0	0	0
t1775	0	0	0	0	0.020153524	0.12476508	0.26890892	0.37738127	0.48638403	0.5750426	0.6047046
t1776	0.6080378	0.57536924	0.50049955	0.37060446	0.21459684	0.07216747	0.001380834	0	0	0	0
t1777	0	0	0	0	0	0	0.02661279	0.15283848	0.30701014	0.44742766	0.53850955
t1778	0.622909	0.64818764	0.6271524	0.5945533	0.48807195	0.35772818	0.211349	0.070941515	0.001688234	0	0
t1779	0	0	0	0	0	0	0	0	0.025677579	0.13940376	0.28154978
t1780	0.4300575	0.5660394	0.6494815	0.681804	0.6609096	0.5857458	0.48220605	0.35558286	0.21199538	0.07266884	0.002101255
t1781	0	0	0	0	0	0	0	0	0	0	0.023483146
t1782	0.14725642	0.29146782	0.4322097	0.4887421	0.50137794	0.4996794	0.46449444	0.39262655	0.2839495	0.22030781	0.1446214
