t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t4939	0.11372831	0.11023718	0.10920587	0.11006062	0.12099939	0.11664677	0.114097394	0.11662181	0.12230841	0.12748602	0.12308204
t4940	0.123729594	0.13034911	0.14220536	1.55E-01	1.64E-01	1.81E-01	1.80E-01	1.78E-01	1.77E-01	1.79E-01	1.93E-01
t4941	1.99E-01	0.20292588	0.19637613	0.18435419	0.17117102	0.15997846	0.13199702	0.14003262	0.13978897	0.1431668	0.1502108
t4942	0.16908978	0.18092425	0.17800964	0.18025728	0.19765857	2.16E-01	2.23E-01	2.40E-01	2.73E-01	2.87E-01	3.01E-01
t4943	3.20E-01	3.15E-01	3.50E-01	0.38585314	0.43382087	0.4724859	0.5316901	0.54241973	0.5714834	0.6174299	0.6483216
t4944	0.6654888	0.68435097	0.67636555	0.6566216	0.60418344	0.5084105	0.4556387	4.14E-01	3.78E-01	3.94E-01	3.99E-01
t4945	3.94E-01	3.65E-01	3.61E-01	3.53E-01	3.36E-01	0.3341287	0.32733116	0.2919968	0.41438794	0.44466546	0.38792416
t4946	0.4199514	0.44348052	0.4714996	0.495784	0.50674653	0.48226532	0.46088672	0.41857558	0.39232868	3.90E-01	3.65E-01
t4947	3.35E-01	3.38E-01	3.40E-01	3.41E-01	3.35E-01	3.29E-01	3.34E-01	0.33702412	0.34053528	0.4005497	0.43284887
t4948	0.42936298	0.4534949	0.43285766	0.42887592	0.4109482	0.39995787	0.39026704	0.3879196	0.34228158	0.3033476	0.32453856
t4949	3.39E-01	3.38E-01	2.44E-01	2.36E-01	2.25E-01	2.17E-01	1.97E-01	1.88E-01	1.83E-01	0.16831765	0.14753753
t4950	0.120327495	0.116244584	0.11735453	0.13994682	0.13930947	0.14416018	0.1583338	0.16878726	0.18168242	0.18316412	0.17581199
t4951	0.17819776	0.20100603	2.28E-01	2.48E-01	2.52E-01	2.70E-01	2.91E-01	2.97E-01	2.81E-01	2.67E-01	2.74E-01
t4952	0.30264586	0.34309328	0.33415085	0.3262951	0.30724856	0.23469394	0.24251726	0.24337325	0.2658681	0.30362976	0.3865984
t4953	0.4071633	0.41084749	0.389833	0.34689495	3.10E-01	2.87E-01	1.97E-01	2.06E-01	2.06E-01	2.19E-01	2.12E-01
t4954	2.06E-01	2.09E-01	0.2147801	0.22526908	0.23963472	0.2603648	0.260179	0.23230548	0.25475997	0.28847846	0.32495618
t4955	0.3486796	0.34572956	0.31133136	0.2790016	0.28703496	0.31441447	3.80E-01	4.15E-01	3.82E-01	3.88E-01	3.93E-01
t4956	3.79E-01	3.70E-01	3.82E-01	3.83E-01	0.39833844	0.4119801	0.451863	0.5132903	0.48386842	0.47548276	0.48739222
t4957	0.49231756	0.498499	0.485393	0.45362264	0.40020132	0.35364175	0.32034925	0.33120322	3.40E-01	3.46E-01	3.10E-01
t4958	3.15E-01	3.04E-01	3.05E-01	3.07E-01	3.01E-01	2.87E-01	0.2913198	0.28554013	0.24480459	0.2683772	0.30706447
t4959	0.3551747	0.351305	0.36682248	0.32565463	0.31866574	0.3517839	0.3257606	0.302315	0.304483	0.30566376	3.25E-01
t4960	3.30E-01	2.28E-01	2.50E-01	2.61E-01	3.00E-01	3.25E-01	3.47E-01	3.66E-01	0.39049983	0.39402652	0.38364807
t4961	0.3902512	0.39583007	0.36666363	0.37822202	0.39819217	0.4135869	0.43979335	0.42810225	0.40234646	0.345417	0.35469887
t4962	0.37162632	3.99E-01	4.17E-01	3.57E-01	3.83E-01	3.88E-01	3.83E-01	3.51E-01	3.40E-01	3.22E-01	0.3108741
t4963	0.28782618	0.33288544	0.36116478	0.35055092	0.30801556	0.3388533	0.38192394	0.4079022	0.44578782	0.47705647	0.49299207
t4964	0.4934038	0.47160807	0.48731834	5.11E-01	5.53E-01	5.56E-01	6.07E-01	6.28E-01	6.38E-01	6.37E-01	6.47E-01
t4965	6.59E-01	0.6754529	0.6633194	0.70422155	0.7379219	0.7550186	0.7507164	0.79536355	0.83237255	0.85432816	0.8549714
t4966	0.8477953	0.8460819	0.8034067	0.74489033	0.7217215	7.05E-01	6.66E-01	6.14E-01	5.65E-01	5.19E-01	4.74E-01
t4967	4.38E-01	4.10E-01	3.90E-01	0.35067052	0.30357963	0.2485956	0.2570624	0.23980151	0.19529156	0.18621004	0.18246126
t4968	0.18157284	0.19613077	0.2152001	0.23330577	0.22799952	0.22548869	0.23128179	2.30E-01	2.25E-01	1.87E-01	1.75E-01
t4969	1.65E-01	1.59E-01	1.56E-01	1.61E-01	1.59E-01	0.16322647	0.15712912	0.14388132	0.16874185	0.19033587	0.2059788
t4970	0.23268792	0.26397726	0.2886932	0.32047397	0.33888492	0.33905596	0.30586043	0.2777103	0.2726943	3.01E-01	3.06E-01
t4971	2.92E-01	2.61E-01	2.24E-01	2.07E-01	1.98E-01	1.92E-01	1.86E-01	0.17495005	0.15790905	0.14372171	0.15034792
t4972	0.15899791	0.14944802	0.16589397	0.1849339	0.17865738	0.1755402	0.17187394	0.16770674	0.14887168	0.13665572	0.1451563
t4973	1.64E-01	1.87E-01	2.26E-01	2.56E-01	2.82E-01	2.98E-01	3.19E-01	3.46E-01	3.84E-01	0.43921578	0.47041738
t4974	0.4923895	0.5200669	0.58436435	0.56149	0.6284296	0.6583305	0.6771821	0.6907306	0.71109766	0.69893783	0.7009837
t4975	0.6935365	0.67331684	6.62E-01	6.47E-01	5.59E-01	5.44E-01	2.62E-01	2.44E-01	2.38E-01	2.40E-01	2.44E-01
t4976	0.24068831	0.21814436	0.15428919	0.15497853	0.15447503	0.135558	0.14482749	0.1580028	0.17288063	0.193888	0.22508906
t4977	0.24629185	0.23347579	0.26566198	0.31231502	0.3523796	3.78E-01	3.38E-01	3.39E-01	3.35E-01	3.18E-01	3.04E-01
t4978	2.96E-01	2.96E-01	0.28549808	0.26499435	0.21311	0.20174186	0.18318	0.1550693	0.17578596	0.19712597	0.20623578
t4979	0.19963506	0.19018768	0.1714014	0.13308755	0.11516647	0.1337144	0.16014227	1.72E-01	1.63E-01	1.47E-01	1.32E-01
t4980	1.13E-01	1.05E-01	9.94E-02	9.86E-02	0.09647673	0.08530247	0.05598635	0.05482676	0.059604183	0.06595464	0.08090256
t4981	0.089025706	0.09804068	0.103123516	0.12079355	0.14045064	0.14575672	0.16562991	0.20332417	0.22418323	2.14E-01	1.80E-01
t4982	1.73E-01	1.76E-01	1.80E-01	1.80E-01	1.86E-01	1.98E-01	0.22244857	0.24172321	0.21096693	0.1986746	0.19566603
t4983	0.1713134	0.19794866	0.21562853	0.23981838	0.26544145	0.28936058	0.28773832	0.29604784	0.31093565	0.369205	0.40383658
t4984	4.23E-01	4.17E-01	4.17E-01	4.16E-01	4.14E-01	4.02E-01	3.96E-01	3.89E-01	0.3797274	0.41787803	0.4021587
t4985	0.3777221	0.37650296	0.4173423	0.43320307	0.43093354	0.4145667	0.40281323	0.39976305	0.3787378	0.35986564	0.31607702
t4986	0.29934934	0.31447455	3.30E-01	2.82E-01	2.63E-01	2.45E-01	2.33E-01	2.11E-01	1.96E-01	1.85E-01	0.17684245
t4987	0.16949864	0.16313227	0.16042936	0.15725172	0.16348475	0.17548864	0.19108798	0.21170144	0.24025878	0.2747258	0.29853958
t4988	0.31296378	0.31449214	0.28867474	0.28009948	2.73E-01	2.78E-01	2.89E-01	3.04E-01	3.18E-01	3.46E-01	3.72E-01
t4989	3.82E-01	0.38659456	0.4159161	0.50493294	0.60821843	0.6257646	0.6737164	0.6983544	0.74035937	0.73968357	0.73373604
t4990	0.7321575	0.72646874	0.7226119	0.7126605	0.71085775	0.7116635	7.04E-01	6.85E-01	6.57E-01	6.30E-01	6.02E-01
t4991	6.01E-01	5.63E-01	5.20E-01	0.4760897	0.48957175	0.5729324	0.56621367	0.5628793	0.44911498	0.5032078	0.5925285
t4992	0.6732586	0.7139427	0.725591	0.6965487	0.6609393	0.6176626	0.58066195	0.53770393	5.15E-01	5.14E-01	5.09E-01
t4993	4.88E-01	4.67E-01	4.59E-01	4.80E-01	5.12E-01	0.53927845	0.56782466	0.6251502	0.65495473	0.6687415	0.6120925
t4994	0.63253266	0.6269104	0.62415886	0.5940878	0.5728745	0.518258	0.43455964	0.39235747	0.38448843	0.39110333	4.12E-01
t4995	4.81E-01	4.98E-01	4.96E-01	4.77E-01	4.67E-01	4.51E-01	4.20E-01	0.38757598	0.35619476	0.33341268	0.37710553
t4996	0.37741604	0.33855742	0.369602	0.39680678	0.41677916	0.44304636	0.4610805	0.40155092	0.38370514	0.40523615	0.43852317
t4997	0.486178	5.70E-01	6.58E-01	6.77E-01	7.10E-01	7.34E-01	7.44E-01	7.38E-01	7.20E-01	0.6890708	0.64497036
t4998	0.63713276	0.6256824	0.6035398	0.42462474	0.49244413	0.5221688	0.5038411	0.46168816	0.43488052	0.39365497	0.35896182
t4999	0.37458822	0.43116182	0.46839207	5.11E-01	5.51E-01	5.98E-01	6.26E-01	6.29E-01	6.17E-01	6.04E-01	5.80E-01
t5000	0.56657207	0.5539372	0.5745843	0.60289365	0.5955783	0.4933817	0.51606977	0.5160644	0.4944654	0.47053677	0.4193771
t5001	0.3395304	0.22975989	0.15702997	0.11371475	0.09849625	1.04E-01	1.35E-01	1.28E-01	1.24E-01	1.26E-01	1.31E-01
t5002	1.48E-01	1.76E-01	0.2141865	0.24265532	0.2673684	0.31031007	0.34887287	0.36301863	0.46122867	0.52629596	0.60587156
t5003	0.62650913	0.62477976	0.5648597	0.49979705	0.48048744	0.46616068	0.47492197	5.03E-01	6.08E-01	6.21E-01	6.19E-01
t5004	6.17E-01	6.05E-01	5.78E-01	5.46E-01	0.50517	0.46817994	0.4906824	0.5047169	0.5013645	0.35206488	0.35856533
t5005	0.35002884	0.35580552	0.3607972	0.38305956	0.37492347	0.39176103	0.38322687	0.39964265	0.4029457	4.04E-01	3.81E-01
t5006	3.48E-01	3.43E-01	3.30E-01	3.09E-01	2.94E-01	2.80E-01	0.251415	0.24382246	0.22466613	0.20833379	0.21161869
t5007	0.20087846	0.21573	0.25104138	0.29499212	0.33438513	0.34084666	0.33837834	0.32856482	0.29761174	0.26657605	0.2568394
t5008	2.72E-01	3.71E-01	3.68E-01	3.64E-01	3.50E-01	3.24E-01	3.01E-01	2.87E-01	0.28378722	0.29618633	0.3214728
t5009	0.33775985	0.3300395	0.24379362	0.2841931	0.31580973	0.3616287	0.42082077	0.42320302	0.42080587	0.38266516	0.33886752
t5010	0.29329103	0.27467173	2.81E-01	3.03E-01	3.25E-01	3.51E-01	3.83E-01	3.93E-01	3.98E-01	4.14E-01	0.42989781
t5011	0.42759076	0.43144664	0.44218424	0.44794145	0.4205506	0.4321631	0.42594355	0.39346975	0.4163567	0.3821135	0.3401004
t5012	0.2610535	0.21850197	0.18970624	0.16643727	1.46E-01	1.29E-01	1.22E-01	1.17E-01	1.15E-01	1.16E-01	1.17E-01
t5013	1.18E-01	0.115194425	0.11607758	0.11707011	0.117442325	0.116787516	0.11577449	0.10962876	0.10599099	0.10154377	0.113559
t5014	0.1307311	0.1289739	0.12302878	0.117602386	0.11525552	0.11938427	1.27E-01	1.70E-01	1.66E-01	1.57E-01	1.37E-01
t5015	1.16E-01	9.23E-02	7.26E-02	0.058816902	0.049012184	0.046340235	0.038377732	0.03727036	0.029259782	0.030233422	0.031690657
t5016	0.034164302	0.03776958	0.039297678	0.0419367	0.046213266	0.055618264	0.07337248	0.09350439	9.85E-02	1.09E-01	1.15E-01
t5017	1.20E-01	1.21E-01	1.32E-01	1.40E-01	1.48E-01	0.15388721	0.13992906	0.1188125	0.11391927	0.11358103	0.09563359
t5018	0.10182637	0.10649959	0.10523034	0.101784445	0.101556316	0.10708254	0.1105973	0.11900258	0.12586616	0.13224348	1.33E-01
t5019	1.21E-01	1.15E-01	1.14E-01	1.23E-01	1.32E-01	1.46E-01	1.62E-01	0.17450622	0.17852353	0.17814323	0.1572213
t5020	0.157857	0.12072974	0.12990758	0.12553456	0.11499148	0.10478851	0.092351295	0.08064792	0.06638865	0.05533602	0.05126467
t5021	0.049191184	4.71E-02	4.60E-02	4.17E-02	3.94E-02	3.88E-02	3.89E-02	4.14E-02	4.52E-02	0.04994522	0.049638633
t5022	0.04344823	0.036363218	0.032402124	0.0271182	0.031024294	0.036627643	0.043670297	0.05184702	0.066585235	0.08645677	0.10630195
t5023	0.11991485	0.1434513	0.15847681	1.69E-01	1.40E-01	1.51E-01	1.49E-01	1.39E-01	1.31E-01	1.31E-01	1.34E-01
t5024	0.13898245	0.13997671	0.11875258	0.11142137	0.11041677	0.10576458	0.10345916	0.10589684	0.105432734	0.111954406	0.12043454
t5025	0.13202111	0.1413057	0.15093386	0.18401532	0.21416414	2.34E-01	2.25E-01	2.08E-01	1.88E-01	1.67E-01	1.54E-01
t5026	1.45E-01	1.38E-01	0.12726428	0.09927612	0.055195093	0.044862773	0.04210217	0.04774871	0.046782162	0.045338705	0.03968437
t5027	0.03365917	0.032634854	0.03856502	0.043324307	0.0542889	0.07928378	0.10070173	1.05E-01	1.01E-01	9.36E-02	9.00E-02
t5028	8.79E-02	8.75E-02	9.29E-02	9.87E-02	0.09101204	0.07141896	0.045634456	0.043464664	0.048974615	0.039311234	0.035100393
t5029	0.03360299	0.039593313	0.050480258	0.059711132	0.059663646	0.073955156	0.09269703	0.07720285	0.059339963	5.21E-02	7.02E-02
t5030	6.78E-02	6.76E-02	6.59E-02	6.46E-02	6.79E-02	7.03E-02	0.06757749	0.06189532	0.05737235	0.058723647	0.059495993
t5031	0.06469507	0.07273819	0.075934425	0.10162935	0.1267011	0.13253151	0.16179566	0.16877322	0.1852613	0.19779977	0.20588057
