t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t2738	0.3827895	0.38409457	0.387732	0.36176482	0.29966825	0.2422894	0.16742188	0.09390559	0.03746109	0.004269814	0
t2739	0	0	0	0	0	0.00024534	0.009753965	0.04842329	0.11847505	0.19857426	0.30412573
t2740	0.37206852	0.45430428	0.49017742	0.52922344	0.49190798	0.42524722	0.384528	0.28851688	0.20847784	0.13599625	0.05126307
t2741	0.005141844	0	0	0	0	0	0	0.000246574	0.008387566	0.039384406	0.081974626
t2742	0.13856857	0.21661673	0.27175236	0.33438882	0.34466887	0.33178997	0.33307377	0.32508147	0.291533	0.23843597	0.1790536
t2743	0.11043464	0.041572798	0.005777079	0	0	0	0	0	0	0.000261939	0.013226179
t2744	0.06085323	0.12794717	0.21367349	0.29797947	0.39254826	0.46676078	0.50253755	0.503395	0.44750768	0.37069494	0.3285449
t2745	0.23354745	0.15529656	0.08449382	0.034677114	0.002446144	0	0	0	0	0	0
t2746	6.92E-05	0.006580399	0.037577495	0.08521734	0.16263208	0.22868325	0.29911074	0.3488098	0.3889357	0.41176182	0.3714185
t2747	0.3548751	0.2849486	0.22925067	0.1689533	0.09785921	0.041278914	0.004064956	0	0	0	0
t2748	0	0	0.000115296	0.010339973	0.062063944	0.14760986	0.25331312	0.36634555	0.4743118	0.54807544	0.54352486
t2749	0.5456515	0.5319346	0.50012606	0.42318502	0.34147942	0.25145847	0.146359	0.05877708	0.006345539	0	0
t2750	0	0	0	0	0.000218949	0.005198794	0.023917744	0.05400969	0.10185382	0.17666838	0.25730067
t2751	0.3235804	0.44739175	0.4821753	0.4892867	0.48270392	0.39624208	0.2980062	0.19966404	0.113560826	0.04398542	0.004623623
t2752	0	0	0	0	0	0	0.000202335	0.007344201	0.043984737	0.09946934	0.14077145
t2753	0.210387	0.25696442	0.3191086	0.357943	0.3814468	0.3640139	0.35500252	0.27989724	0.22823386	0.1625792	0.10181413
t2754	0.037292007	0.003758828	0	0	0	0	0	0	9.36E-05	0.010998636	0.056086294
