	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t6417	0.1079	0.19257	0.13303	0.10931	0.0666	0.16735	0.07912	0.12826	0.07973	0.15846	0.08489	0.102	0.192	0.385	0.322	0.441	0.19
t6418	0.16308	0.267	0.19434	0.16895	0.0864	0.33	0.12721	0.21096	0.12434	0.22431	0.16864	0.16	0.229	0.445	0.408	0.507	0.221
t6419	0.20914	0.30771	0.26235	0.19703	0.10684	0.47422	0.17495	0.26547	0.16506	0.26153	0.24174	0.198	0.256	0.481	0.457	0.522	0.232
t6420	0.21107	0.26321	0.29867	0.21499	0.09982	0.5853	0.21903	0.3116	0.17762	0.27982	0.2824	0.221	0.288	0.486	0.474	0.489	0.249
t6421	0.2366	0.22289	0.34237	0.24526	0.08708	0.64161	0.24727	0.3272	0.17272	0.27054	0.27474	0.221	0.294	0.429	0.462	0.413	0.211
t6422	0.20385	0.14863	0.33427	0.21561	0.0804	0.62851	0.26033	0.31807	0.15635	0.23755	0.26774	0.194	0.252	0.291	0.411	0.317	0.13
t6423	0.18482	0.0777	0.27982	0.1836	0.05536	0.57099	0.22761	0.26001	0.12256	0.1872	0.24709	0.138	0.159	0.139	0.324	0.203	0.09
t6424	0.12268	0.03458	0.20283	0.13662	0.03444	0.47259	0.20027	0.19282	0.08537	0.12748	0.20207	0.081	0.054	0.044	0.196	0.082	0.049
t6425	0.06876	0.00814	0.13875	0.08513	0.01989	0.34296	0.12832	0.13074	0.04359	0.06185	0.13795	0.031	0.003	0.001	0.059	0.004	0.008
t6426	0.01508	0.0002	0.05337	0.02538	0.00652	0.19483	0.05986	0.05139	0.01229	0.01018	0.07957	0	0	0	0	0	0
t6427	0.00016	0	0.00572	0.00074	0.00004	0.05831	0.00836	0.00444	0.00143	0	0.02233	0	0	0	0	0	0
t6428	0	0	0	0	0	0.00086	0.00007	0	0.00076	0	0.00015	0	0	0	0	0	0
t6429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
