	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
Sc2.t5921	0.134	0.109	0.212	0.215	0.092	0.436	0.304	0.292	0.108	0.137	0.230	0.103	0.020	0.013	0.091	0.017	0.032
Sc2.t5922	0.061	0.033	0.138	0.107	0.055	0.290	0.185	0.169	0.062	0.070	0.163	0.014	0.000	0.000	0.007	0.000	0.000
Sc2.t5923	0.008	0.001	0.043	0.025	0.015	0.136	0.068	0.056	0.021	0.014	0.088	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5924	0.000	0.000	0.001	0.000	0.000	0.018	0.004	0.001	0.004	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5925	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5926	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5928	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5929	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5931	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5932	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5933	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.002	0.000	0.000	0.000	0.002	0.000	0.010	0.000
Sc2.t5934	0.006	0.063	0.000	0.003	0.003	0.000	0.000	0.000	0.024	0.023	0.000	0.026	0.027	0.031	0.055	0.077	0.067
Sc2.t5935	0.066	0.164	0.027	0.053	0.061	0.002	0.021	0.034	0.052	0.078	0.005	0.149	0.098	0.079	0.194	0.182	0.201
Sc2.t5936	0.160	0.271	0.083	0.141	0.173	0.066	0.125	0.139	0.088	0.128	0.046	0.341	0.208	0.150	0.334	0.292	0.354
Sc2.t5937	0.303	0.366	0.185	0.236	0.284	0.218	0.276	0.264	0.130	0.195	0.103	0.526	0.327	0.238	0.426	0.386	0.481
Sc2.t5938	0.394	0.445	0.285	0.325	0.390	0.389	0.426	0.380	0.192	0.261	0.163	0.645	0.425	0.307	0.482	0.440	0.572
Sc2.t5939	0.452	0.455	0.397	0.407	0.434	0.536	0.533	0.467	0.224	0.315	0.238	0.711	0.478	0.345	0.510	0.463	0.627
Sc2.t5940	0.487	0.402	0.495	0.436	0.444	0.639	0.625	0.529	0.245	0.338	0.303	0.726	0.490	0.354	0.506	0.453	0.616
Sc2.t5941	0.498	0.314	0.514	0.458	0.407	0.695	0.639	0.558	0.245	0.338	0.331	0.697	0.453	0.333	0.475	0.412	0.592
Sc2.t5942	0.447	0.236	0.458	0.414	0.384	0.690	0.647	0.543	0.228	0.324	0.325	0.624	0.386	0.285	0.409	0.342	0.524
Sc2.t5943	0.367	0.157	0.394	0.341	0.316	0.643	0.576	0.493	0.198	0.290	0.314	0.505	0.286	0.192	0.321	0.236	0.414
Sc2.t5944	0.246	0.105	0.343	0.247	0.213	0.549	0.490	0.400	0.167	0.221	0.278	0.344	0.155	0.100	0.213	0.124	0.246
Sc2.t5945	0.144	0.059	0.232	0.161	0.141	0.436	0.356	0.277	0.119	0.149	0.217	0.166	0.052	0.025	0.096	0.035	0.096
