	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t6693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6702	0	0.00303	0	0	0	0	0	0	0.00066	0	0	0	0.005	0.014	0.003	0.011	0.004
t6703	0.02442	0.06209	0.00045	0.00859	0.00376	0.00026	0.00167	0.00054	0.00444	0.00766	0	0.062	0.094	0.101	0.054	0.091	0.081
t6704	0.12395	0.16598	0.05667	0.09875	0.06645	0.02228	0.04266	0.05595	0.03133	0.05126	0.0081	0.221	0.246	0.225	0.144	0.221	0.218
t6705	0.25727	0.2618	0.1825	0.23127	0.16941	0.1448	0.14657	0.17917	0.07316	0.11523	0.07596	0.379	0.395	0.34	0.237	0.357	0.33
t6706	0.36782	0.33852	0.31174	0.35318	0.26021	0.29133	0.26857	0.3051	0.11759	0.17605	0.17396	0.474	0.524	0.412	0.29	0.45	0.38
t6707	0.46444	0.38148	0.41072	0.4399	0.32494	0.424	0.37001	0.40146	0.15475	0.21141	0.26057	0.49	0.577	0.461	0.324	0.491	0.378
t6708	0.51576	0.39028	0.47673	0.49255	0.34093	0.52521	0.43925	0.47042	0.16986	0.22891	0.33795	0.463	0.577	0.456	0.324	0.487	0.334
t6709	0.51412	0.35913	0.49785	0.49662	0.33269	0.57208	0.4541	0.49093	0.16863	0.22529	0.36111	0.419	0.529	0.388	0.29	0.435	0.303
t6710	0.47647	0.29209	0.47268	0.45452	0.32742	0.57012	0.42981	0.46431	0.14597	0.1953	0.36726	0.347	0.429	0.29	0.235	0.335	0.255
t6711	0.37989	0.19819	0.40361	0.36977	0.26526	0.52302	0.35905	0.39273	0.10793	0.14669	0.32768	0.246	0.261	0.17	0.163	0.197	0.142
t6712	0.2457	0.09318	0.29585	0.25356	0.18521	0.4288	0.25942	0.28623	0.06407	0.08777	0.26103	0.127	0.083	0.057	0.079	0.068	0.043
t6713	0.10459	0.01272	0.16929	0.12233	0.09034	0.30148	0.15359	0.159	0.0241	0.03087	0.1683	0.025	0.001	0	0.011	0	0.001
t6714	0.00846	0	0.0477	0.0184	0.01158	0.15699	0.05128	0.04048	0.00425	0.00088	0.07346	0	0	0	0	0	0
t6715	0	0	0.00018	0	0	0.03031	0.00225	0.00003	0.00069	0	0.00671	0	0	0	0	0	0
t6716	0	0	0	0	0	0.00005	0	0	0	0	0	0	0	0	0	0	0
t6717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6726	0	0.00247	0	0	0	0	0	0	0.0003	0	0	0	0.001	0.006	0.001	0.006	0
t6727	0.02439	0.05895	0.0003	0.00751	0.00342	0.00023	0.00126	0.00035	0.00327	0.0089	0	0.027	0.048	0.049	0.063	0.051	0.024
t6728	0.13794	0.13834	0.05383	0.09424	0.07061	0.0225	0.03438	0.05469	0.03132	0.06495	0.00581	0.13	0.147	0.1	0.188	0.134	0.067
t6729	0.27412	0.22081	0.17764	0.22201	0.18364	0.15385	0.13304	0.17882	0.08332	0.14081	0.06085	0.266	0.244	0.143	0.318	0.246	0.109
t6730	0.41222	0.29661	0.30685	0.3455	0.29156	0.32039	0.25547	0.30569	0.13539	0.21615	0.14085	0.391	0.325	0.168	0.414	0.319	0.153
t6731	0.50092	0.33023	0.40374	0.4311	0.37143	0.46868	0.34137	0.40198	0.17641	0.27403	0.22479	0.51	0.374	0.185	0.471	0.339	0.212
t6732	0.54024	0.34884	0.46942	0.48187	0.41589	0.57668	0.3963	0.46533	0.19724	0.30557	0.29473	0.591	0.421	0.191	0.479	0.32	0.239
t6733	0.52559	0.31657	0.49117	0.48615	0.4213	0.63541	0.42085	0.48418	0.19926	0.30071	0.33545	0.61	0.41	0.155	0.45	0.269	0.237
t6734	0.4634	0.25792	0.46678	0.44398	0.38357	0.64005	0.39687	0.45682	0.17605	0.26386	0.3363	0.551	0.335	0.105	0.375	0.192	0.199
t6735	0.35632	0.17445	0.39902	0.35998	0.3099	0.58598	0.33259	0.38495	0.132	0.19486	0.30041	0.43	0.216	0.056	0.27	0.1	0.136
t6736	0.22758	0.08054	0.29273	0.24585	0.20751	0.48502	0.2447	0.27963	0.07821	0.11128	0.24168	0.265	0.076	0.016	0.144	0.025	0.057
t6737	0.0919	0.01045	0.16626	0.11621	0.09419	0.33964	0.13316	0.15245	0.03316	0.03302	0.16058	0.075	0.002	0	0.029	0	0.002
t6738	0.00693	0	0.0449	0.01622	0.01033	0.1742	0.04198	0.0367	0.00565	0.00068	0.06739	0	0	0	0	0	0
t6739	0	0	0.00013	0	0	0.03148	0.00169	0.00001	0.00052	0	0.00541	0	0	0	0	0	0
t6740	0	0	0	0	0	0.00003	0	0	0	0	0	0	0	0	0	0	0
t6741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6750	0	0.00167	0	0	0	0	0	0	0.00016	0	0	0	0.001	0.02	0.002	0.004	0.009
t6751	0.02391	0.05084	0.0002	0.00637	0.00282	0.0002	0.00133	0.00021	0.00289	0.00644	0	0.103	0.051	0.143	0.079	0.045	0.146
t6752	0.14333	0.14212	0.05318	0.08779	0.06831	0.02127	0.03074	0.05092	0.02988	0.05444	0.00634	0.305	0.166	0.298	0.209	0.134	0.319
t6753	0.28519	0.22679	0.18157	0.21283	0.18267	0.15104	0.11021	0.17226	0.08003	0.11805	0.06677	0.479	0.386	0.412	0.327	0.246	0.468
t6754	0.41342	0.29164	0.31443	0.33275	0.29161	0.31542	0.20282	0.29688	0.13189	0.18483	0.15724	0.598	0.539	0.485	0.408	0.356	0.562
t6755	0.49464	0.32513	0.41118	0.41645	0.37032	0.4626	0.28193	0.39181	0.17179	0.23573	0.23899	0.665	0.587	0.502	0.445	0.439	0.622
