	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1530	0.04424	0.07307	0.22427	0.04724	0.04352	0.11586	0.06714	0.13855	0.50115	0.03014	0.02196	0.04125	0.59419	0.21462	0.07133	0.87524	0.02857
t1531	0.05171	0.09032	0.23454	0.05488	0.04445	0.12269	0.09302	0.174	0.51233	0.03372	0.02035	0.04376	0.59262	0.35875	0.05481	0.87997	0.01841
t1532	0.05511	0.08292	0.24569	0.07155	0.04338	0.11082	0.11929	0.1889	0.5126	0.03587	0.01858	0.04768	0.58059	0.53027	0.04318	0.88058	0.01172
t1533	0.05716	0.0702	0.25015	0.08165	0.04219	0.09768	0.13057	0.18689	0.49347	0.0389	0.01826	0.06557	0.58141	0.6075	0.03974	0.87929	0.00937
t1534	0.0549	0.06516	0.24717	0.09605	0.03884	0.08184	0.13675	0.1875	0.47195	0.03926	0.01952	0.08701	0.63566	0.59532	0.0419	0.88232	0.00972
t1535	0.06009	0.07156	0.39111	0.10619	0.03498	0.09449	0.10383	0.2222	0.51679	0.03771	0.02361	0.09868	0.66083	0.54339	0.04459	0.88537	0.01309
t1536	0.05889	0.06425	0.42887	0.11546	0.03218	0.08132	0.11661	0.22441	0.5429	0.03896	0.02577	0.10396	0.68159	0.5085	0.04539	0.88673	0.01753
t1537	0.06053	0.05495	0.4663	0.12665	0.03574	0.07263	0.09712	0.23294	0.5967	0.03932	0.02836	0.10878	0.70611	0.45513	0.04674	0.88577	0.02196
t1538	0.06136	0.04715	0.50261	0.14161	0.03644	0.06126	0.08046	0.23153	0.62589	0.03971	0.02984	0.11489	0.72632	0.41676	0.04996	0.87804	0.02563
t1539	0.05831	0.04614	0.507	0.16306	0.03699	0.05241	0.06527	0.23732	0.65693	0.04048	0.03278	0.1214	0.7353	0.38107	0.05478	0.87129	0.02708
t1540	0.05238	0.04902	0.51736	0.18448	0.03616	0.0542	0.0561	0.22569	0.66566	0.04005	0.03687	0.12317	0.72595	0.35323	0.05866	0.85609	0.03132
t1541	0.0537	0.04947	0.57543	0.21595	0.03646	0.05485	0.05371	0.21929	0.67092	0.04008	0.04255	0.12656	0.717	0.34988	0.06606	0.83814	0.03624
t1542	0.05855	0.05253	0.65583	0.25272	0.03894	0.05575	0.05817	0.20984	0.673	0.04444	0.04919	0.13715	0.70461	0.35342	0.07913	0.83014	0.03681
t1543	0.06686	0.0511	0.69252	0.28492	0.03482	0.05907	0.05916	0.20434	0.66241	0.04935	0.0514	0.14408	0.691	0.31238	0.07441	0.83136	0.0286
t1544	0.05503	0.04017	0.73563	0.3097	0.02639	0.0476	0.06128	0.19989	0.67349	0.04945	0.053	0.12132	0.70578	0.25013	0.04993	0.85158	0.03142
t1545	0.04809	0.0404	0.78551	0.34324	0.01589	0.03181	0.05383	0.18966	0.669	0.04216	0.0515	0.12706	0.77645	0.31409	0.03982	0.88603	0.07312
t1546	0.0455	0.04989	0.81446	0.37328	0.01071	0.02052	0.0294	0.17332	0.67527	0.03555	0.04603	0.22248	0.81123	0.504	0.0395	0.90345	0.08425
t1547	0.04498	0.06469	0.78783	0.3942	0.04447	0.00853	0.01336	0.17083	0.67025	0.04867	0.04141	0.30142	0.83545	0.63252	0.04606	0.90574	0.07607
t1548	0.05078	0.05561	0.80631	0.38506	0.0475	0.00851	0.01449	0.17761	0.65622	0.0516	0.04011	0.36415	0.85288	0.69281	0.05551	0.90507	0.06992
t1549	0.05796	0.0471	0.76348	0.35642	0.0423	0.00803	0.01589	0.18617	0.58998	0.04811	0.03915	0.38564	0.8565	0.68583	0.06184	0.89404	0.0589
t1550	0.07006	0.04804	0.71471	0.30067	0.03242	0.00779	0.0171	0.19266	0.46793	0.04268	0.03366	0.38353	0.8593	0.64845	0.06436	0.87648	0.04214
t1551	0.08576	0.05386	0.63835	0.27907	0.03648	0.00705	0.01692	0.19676	0.34094	0.0415	0.0254	0.3263	0.85755	0.49517	0.06576	0.85913	0.026
t1552	0.09876	0.06038	0.60442	0.2204	0.04229	0.00968	0.01484	0.19908	0.2571	0.04316	0.02247	0.24708	0.85905	0.386	0.06268	0.84732	0.01618
t1553	0.10072	0.07434	0.54792	0.17338	0.05087	0.01256	0.0137	0.15554	0.21388	0.05123	0.02517	0.2409	0.86917	0.45979	0.06778	0.83521	0.0185
t1554	0.11685	0.09308	0.43397	0.11659	0.07283	0.01934	0.0153	0.135	0.17941	0.06636	0.03501	0.25837	0.87498	0.55693	0.07968	0.81549	0.01849
t1555	0.14855	0.08093	0.34764	0.08983	0.08653	0.02545	0.01612	0.13187	0.14219	0.06763	0.05321	0.26739	0.88144	0.61241	0.09591	0.79372	0.01275
t1556	0.17581	0.08586	0.24661	0.07455	0.10256	0.02199	0.01641	0.1477	0.11347	0.0604	0.07164	0.26511	0.88398	0.6364	0.11733	0.77838	0.01093
