	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t7368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7375	0.00013	0.0008	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0.021	0.009	0.01
t7376	0.01522	0.01918	0.00184	0.01058	0.00159	0.00232	0.00534	0.00191	0.0001	0.00115	0.00002	0.019	0.024	0.169	0.121	0.047	0.062
t7377	0.04195	0.04184	0.03312	0.06071	0.02567	0.0569	0.0526	0.04638	0.00771	0.01704	0.00723	0.06	0.051	0.316	0.253	0.098	0.099
t7378	0.06731	0.07748	0.08035	0.1257	0.04625	0.17051	0.12861	0.10705	0.0323	0.03991	0.05045	0.104	0.08	0.414	0.359	0.139	0.108
t7379	0.08764	0.12301	0.12418	0.17475	0.05438	0.2666	0.2114	0.17298	0.05576	0.05408	0.10054	0.147	0.12	0.454	0.426	0.171	0.076
t7380	0.09801	0.14773	0.16637	0.19795	0.05372	0.33866	0.27302	0.21334	0.07112	0.05698	0.14005	0.177	0.128	0.421	0.443	0.168	0.114
t7381	0.09538	0.14228	0.14032	0.19769	0.05246	0.38233	0.29515	0.21158	0.06937	0.04929	0.16704	0.201	0.083	0.345	0.41	0.137	0.174
t7382	0.07347	0.09271	0.12704	0.16725	0.0537	0.35646	0.28044	0.20599	0.0527	0.03392	0.15831	0.208	0.037	0.237	0.334	0.08	0.181
t7383	0.04877	0.03913	0.09509	0.11765	0.03244	0.29532	0.22918	0.16989	0.03063	0.01469	0.13588	0.136	0.015	0.105	0.217	0.025	0.121
t7384	0.02588	0.00346	0.05388	0.05882	0.01254	0.21253	0.16189	0.09844	0.01334	0.00346	0.09271	0.049	0.001	0.002	0.083	0	0.024
t7385	0.0041	0	0.01731	0.01124	0.00122	0.13402	0.07358	0.02576	0.00102	0.00011	0.03881	0	0	0	0.001	0	0
t7386	0	0	0.00014	0	0	0.0442	0.00772	0.00012	0	0	0.00327	0	0	0	0	0	0
t7387	0	0	0	0	0	0.00139	0	0	0	0	0	0	0	0	0	0	0
t7388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7399	0.00009	0.00096	0	0	0	0	0	0	0	0	0	0	0.008	0.059	0.025	0.005	0.006
t7400	0.018	0.02724	0.00087	0.00732	0.00047	0.00179	0.00467	0.00132	0.00006	0.00093	0	0.067	0.082	0.212	0.099	0.052	0.037
t7401	0.05058	0.08078	0.02022	0.06187	0.007	0.05589	0.06639	0.04594	0.00442	0.01128	0.00345	0.2	0.226	0.357	0.179	0.14	0.094
t7402	0.07791	0.13416	0.06368	0.14132	0.01695	0.16968	0.16712	0.11749	0.01881	0.03086	0.02845	0.312	0.309	0.442	0.253	0.233	0.173
t7403	0.09912	0.1613	0.09888	0.20667	0.03936	0.26346	0.26198	0.18036	0.03071	0.04464	0.06594	0.343	0.262	0.466	0.31	0.3	0.165
t7404	0.16508	0.1543	0.12335	0.24225	0.07149	0.33307	0.32331	0.21862	0.03676	0.04963	0.09973	0.304	0.188	0.446	0.313	0.303	0.119
t7405	0.21585	0.13582	0.12295	0.24042	0.08064	0.35542	0.34094	0.1967	0.03472	0.04327	0.12855	0.23	0.139	0.402	0.269	0.239	0.069
t7406	0.18932	0.10546	0.10591	0.22436	0.07271	0.34794	0.32196	0.1306	0.02572	0.02928	0.1402	0.143	0.09	0.288	0.192	0.143	0.05
t7407	0.13346	0.04618	0.09564	0.16392	0.0535	0.30632	0.24894	0.08594	0.01668	0.01249	0.12742	0.075	0.034	0.129	0.107	0.053	0.029
t7408	0.06193	0.00392	0.05174	0.08746	0.02705	0.21839	0.168	0.04568	0.00902	0.00299	0.09386	0.02	0.002	0.003	0.028	0	0.003
t7409	0.00732	0	0.01884	0.01623	0.00246	0.13319	0.07066	0.01148	0.00114	0.00022	0.04083	0	0	0	0	0	0
t7410	0	0	0.00012	0	0	0.04434	0.00593	0.00009	0	0	0.00351	0	0	0	0	0	0
t7411	0	0	0	0	0	0.00103	0	0	0	0	0	0	0	0	0	0	0
t7412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
